Carimbo de data/hora,1. Clareza nas definições dos objetivos propostos.,2. Compatibilidade dos objetivos com as necessidades de treinamento.,3. Qualidade e organização do conteúdo (material de apoio) disponibilizado.,"4.  Uso de estratégias e recursos instrucionais (vídeos, recursos visuais, conteúdo interativo etc.) que favoreçam a fixação dos conteúdos.",5. Facilidade de acesso e navegação nos conteúdos e atividades.,6. Ambiente virtual de aprendizagem adequado.,7. Satisfação geral em relação ao curso.,1. Adquiri novos conceitos e ideias.,2. Procurei aprimorar meus conhecimentos a partir dos conteúdos disponíveis.,3. As informações recebidas ajudarão no meu desenvolvimento profissional.,1. Suporte ao acesso e navegação no curso,2. Clareza nas informações e orientações sobre as atividades a serem desenvolvidas,3. Resolução das dificuldades apresentadas durante a capacitação,
2024/11/08 1:36:59 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/11/25 3:07:04 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/11/26 12:00:49 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/02 5:03:52 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Tudo ótimo.
2024/12/02 6:25:57 PM GMT-3,4,4,3,4,4,4,4,4,4,5,3,4,4,
2024/12/02 6:47:06 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/03 7:51:07 AM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/03 2:49:34 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Ótimo curso.
2024/12/03 4:47:56 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/03 5:27:49 PM GMT-3,4,3,4,4,5,5,3,3,3,3,4,4,4,
2024/12/03 5:55:30 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 12:45:05 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 2:44:07 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 2:53:18 PM GMT-3,4,4,4,5,5,5,5,5,5,5,3,3,3,Treinamento oportuno
2024/12/04 4:13:39 PM GMT-3,4,4,4,4,4,4,3,4,4,4,4,4,4,
2024/12/04 4:40:43 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/04 5:41:18 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,Nada a acrescentar
2024/12/04 5:58:18 PM GMT-3,4,5,5,5,5,5,5,5,5,4,5,4,5,
2024/12/04 8:19:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 9:37:37 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 10:28:20 AM GMT-3,3,3,3,3,3,3,3,5,3,5,5,5,5,
2024/12/05 10:49:12 AM GMT-3,5,5,5,5,5,5,5,4,4,5,5,5,5,
2024/12/05 12:15:07 PM GMT-3,4,4,4,5,5,4,4,4,4,4,4,4,4,
2024/12/05 1:07:14 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 2:31:46 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/05 5:10:42 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso ótimo!
2024/12/05 5:40:03 PM GMT-3,5,5,5,4,4,5,5,4,4,4,5,5,5,SERIA MELHOR SE FOSSE REALIZADO EM MOMENTO MAIS OPORTUNO
2024/12/05 7:35:03 PM GMT-3,5,5,5,5,5,5,5,4,4,4,5,5,5,
2024/12/06 8:59:36 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 11:26:58 AM GMT-3,5,5,5,4,4,5,5,5,4,5,4,4,5,
2024/12/06 3:55:41 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 6:23:59 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/06 7:00:19 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/07 10:30:32 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/07 2:20:02 PM GMT-3,5,5,5,4,5,4,5,4,4,4,4,4,4,
2024/12/07 4:21:01 PM GMT-3,5,5,5,5,5,5,5,5,5,3,5,5,5,um curso presencial ajudaria a sedimentar melhor os conhecimentos adquiridos
2024/12/07 7:09:53 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 8:54:16 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 9:52:26 AM GMT-3,5,5,5,5,4,5,5,5,5,5,5,5,5,
2024/12/09 9:59:49 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 10:03:27 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 10:33:58 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 11:00:27 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 11:10:27 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 11:39:42 AM GMT-3,5,5,5,5,4,4,5,4,5,5,4,4,4,
2024/12/09 12:22:12 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/09 12:48:54 PM GMT-3,5,5,5,5,5,5,4,5,5,4,5,5,5,
2024/12/09 2:14:48 PM GMT-3,5,5,5,5,5,5,5,5,4,5,5,5,5,
2024/12/09 3:16:37 PM GMT-3,4,4,4,5,5,5,4,5,4,4,4,4,4,
2024/12/10 7:53:40 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 8:25:21 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 11:29:40 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 11:55:55 AM GMT-3,5,5,5,5,5,5,5,5,5,5,4,4,4,
2024/12/10 12:53:50 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 12:59:27 PM GMT-3,4,4,4,5,4,4,4,4,4,4,4,4,4,
2024/12/10 1:16:33 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Excelente curso!
2024/12/10 1:36:57 PM GMT-3,4,4,3,3,4,4,4,4,5,5,4,4,4,"Seria importante disponibilizar material de apoio (livro/apostila) para consultas em especial ao pessoal que fica lida com o público em geral, servidores do atendimento."
2024/12/10 1:38:57 PM GMT-3,5,5,5,5,5,5,5,5,5,5,4,5,4,
2024/12/10 1:42:13 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 2:20:10 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 3:30:05 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/10 4:03:11 PM GMT-3,5,5,5,5,5,5,4,4,4,4,4,4,4,
2024/12/10 4:11:54 PM GMT-3,5,5,5,5,4,5,5,5,5,5,5,5,5,
2024/12/10 5:45:44 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/10 6:08:57 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 7:42:48 AM GMT-3,5,4,5,5,5,5,5,5,5,5,5,5,5,O curso nos faz enxergar que algumas falas que adotamos estão recheadas de preconceitos com as pessoas deficientes e que isso precisa mudar para que haja um tratamento verdadeiramente igualitário.
2024/12/11 8:49:57 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 9:50:12 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 10:47:37 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 11:08:36 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,4,5,
2024/12/11 12:08:01 PM GMT-3,5,4,5,5,5,5,5,5,5,4,5,5,5,
2024/12/11 1:43:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,4,
2024/12/11 2:01:15 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"O curso foi muito importante, nos mostra o quanto é essencial promover a igualdade e a diversidade, garantindo que todos tenham acesso aos seus direitos."
2024/12/11 3:11:06 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/11 3:51:39 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 3:57:50 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 5:10:35 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/11 5:52:04 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Muito bom!
2024/12/13 12:04:08 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/13 1:01:45 PM GMT-3,5,2,5,5,5,5,4,4,5,2,3,5,3,
2024/12/13 2:08:55 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/13 5:12:54 PM GMT-3,5,4,5,5,5,5,5,5,5,5,5,5,5,
2024/12/13 5:15:41 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/14 9:35:08 AM GMT-3,4,3,5,3,4,4,3,4,4,3,4,4,4,
2024/12/14 5:12:02 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Sugiro que o curso de libras do TRE-TO, inserido como material instrucional do presente curso, permaneça disponível, de preferência na área destaques da intranet, de modo que seja um recurso de fácil acesso para a nossa consulta e aprendizagem. Aproveito para parabenizar pela produção do conteúdo do curso e pelos vídeos com situações reais e comuns do nosso cotidiano."
2024/12/14 5:32:46 PM GMT-3,5,5,5,5,5,5,4,3,5,3,5,5,5,
2024/12/14 10:54:47 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/14 11:05:56 PM GMT-3,5,5,5,4,5,5,5,5,5,5,5,5,5,
2024/12/16 8:39:00 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 9:17:37 AM GMT-3,3,3,4,4,4,4,4,3,3,3,3,3,3,ÓTIMA TEMÁTICA
2024/12/16 9:48:42 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Excelente curso, essencial para que todos tenham o conhecimento necessário para atendimento ao público"
2024/12/16 9:50:59 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 11:19:57 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 12:08:03 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 1:28:03 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 2:18:48 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 2:20:54 PM GMT-3,4,5,4,3,4,4,4,5,5,4,4,3,4,
2024/12/16 2:30:39 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,ótimo
2024/12/16 2:57:58 PM GMT-3,5,5,5,5,5,5,5,5,4,5,5,5,5,
2024/12/16 3:53:46 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 4:00:43 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,O curso foi ótimo. Agradeço pela oportunidade de aprender sobre temas tão importantes para a construção de uma sociedade mais acessível e inclusiva. Parabéns a todos os envolvidos na organização e execução deste curso
2024/12/16 4:10:07 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 4:10:51 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/16 4:21:53 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso muito bem elaborado.
2024/12/16 4:30:39 PM GMT-3,4,4,4,4,4,4,4,5,4,5,4,4,4,
2024/12/16 4:52:20 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 5:04:08 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 5:24:05 PM GMT-3,5,5,4,5,5,5,5,5,5,5,5,5,5,"Muito boa a iniciativa. Gostei especialmente do material produzido ""na casa"". Parabéns a André e todos os outros colegas que participaram."
2024/12/16 5:32:18 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso maravilhoso... muito bem desenhado! Parabéns!!!
2024/12/16 6:09:44 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,
2024/12/16 6:28:36 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,Nada a acrescentar
2024/12/16 6:28:41 PM GMT-3,5,5,5,5,5,4,5,5,5,5,5,5,5,
2024/12/16 6:32:45 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 6:38:15 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 6:54:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 7:02:14 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/16 7:55:43 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 9:22:50 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Otimo curso
2024/12/17 10:18:59 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 10:55:58 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso ótimo
2024/12/17 10:58:24 AM GMT-3,5,4,4,5,5,5,3,3,4,4,5,5,5,
2024/12/17 11:32:27 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,ótimo
2024/12/17 12:23:38 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Curso excelente, parabéns !!!"
2024/12/17 1:05:14 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Parabéns, excelente iniciativa. Eu já tinha alguns conhecimentos básicos, mas o curso contribuiu muito para ampliá-los."
2024/12/17 1:48:01 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Excelente curso
2024/12/17 2:11:47 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 2:16:23 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 2:40:39 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 2:59:52 PM GMT-3,5,5,5,5,3,5,5,5,5,5,5,5,5,
2024/12/17 3:00:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 3:44:33 PM GMT-3,5,5,5,5,5,5,5,5,5,5,4,4,5,
2024/12/17 3:55:16 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 5:13:58 PM GMT-3,5,5,5,5,5,5,5,4,4,4,5,5,5,
2024/12/17 5:17:40 PM GMT-3,5,5,5,5,5,5,5,4,4,4,5,5,5,
2024/12/17 5:27:46 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 5:43:07 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"o material é bem interessante e de fácil aprendizagem.  Como sugestão, observei no vídeo sobre a urna eletrônica que o boneco no canto inferior direito está com uma vestimenta que se confunde com o fundo da imagem, o que dificulta o entendimento por pessoas que possuem daltonismo."
2024/12/17 5:56:59 PM GMT-3,4,4,5,5,5,5,4,4,4,5,4,5,5,
2024/12/17 7:01:43 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 7:22:28 PM GMT-3,5,5,5,5,5,5,4,5,5,5,5,5,5,
2024/12/17 8:29:15 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 9:34:08 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 10:05:02 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/17 10:39:41 PM GMT-3,5,4,4,4,5,4,4,4,4,4,4,4,4,
2024/12/18 3:00:32 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Acho que o curso deveria ter uma carga horária maior.
2024/12/18 3:07:46 PM GMT-3,5,5,5,5,5,5,5,4,4,5,5,5,5,"Curso muito bem elaborado, com ambiente de aprendizado fácil, utilizando recursos variados que permitem aliar os conceitos com uma visão prática dos temas abordados."
2024/12/18 3:28:11 PM GMT-3,5,5,5,3,5,4,4,5,5,5,3,3,3,
2024/12/18 4:00:13 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 4:41:14 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 5:18:15 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 5:54:29 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 6:28:28 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 6:29:28 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Muito bom
2024/12/18 6:56:45 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/18 6:57:34 PM GMT-3,5,4,4,5,5,5,5,4,4,5,4,4,4,
2024/12/18 7:21:40 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 12:31:07 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 7:57:42 AM GMT-3,5,5,5,5,5,5,5,5,4,5,5,5,5,
2024/12/19 8:19:10 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 8:23:56 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso excelente e muito bem elaborado.
2024/12/19 9:11:12 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,gostei do curso
2024/12/19 9:17:22 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 9:19:39 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 9:20:30 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 9:44:43 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 9:45:06 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 10:04:27 AM GMT-3,5,5,5,5,5,5,5,5,5,5,3,3,5,Tive dificuldades no video interativo por não oferecer boa acessibilidade.
2024/12/19 10:31:52 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 10:59:25 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 11:01:10 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Excelente curso.
2024/12/19 11:07:53 AM GMT-3,5,5,5,5,5,5,5,5,5,5,4,4,5,Disponibilizar mais tempo para a realização do curso
2024/12/19 11:26:48 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Curso bom, conteúdo bom, muito pouco tempo para fazer."
2024/12/19 11:42:55 AM GMT-3,5,5,5,5,4,5,5,5,5,5,5,4,5,
2024/12/19 12:03:42 PM GMT-3,5,4,5,5,5,5,4,5,4,4,4,5,4,
2024/12/19 12:41:56 PM GMT-3,4,4,4,4,5,4,3,3,3,3,4,4,4,Não há
2024/12/19 1:21:35 PM GMT-3,4,4,4,4,4,4,4,4,4,4,4,4,4,.
2024/12/19 2:03:09 PM GMT-3,4,4,4,4,5,4,4,4,5,5,4,5,4,
2024/12/19 2:34:01 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Como sugestão: os fiscais de contrato encontram-se na PIOR época do ano, no encerramento do exercício financeiro, período em que temos de liquidar todos os contratos em curso, indicar sobras, indicar valores a inscrever em restos a pagar, elaborar planilhas de medição dos contratos, emitir certidões e notas técnicas para pagamento. Tudo isso somado à abertura das novas contratações de 2025, que já deveriam estar com estudos técnicos e termos de referência prontos e tramitando (conforme o PAC2025). Sendo assim, nossa sugestão é que a Administração sempre determine aos servidores participar de capacitações mas fixando a data-limite, quem sabe, no encerramento do 1º semestre, e deixando apenas o 2º semestre para os que não conseguirem concluir, pelos mais diversos motivos."
2024/12/19 2:42:43 PM GMT-3,4,5,5,4,5,5,5,5,5,5,5,5,5,
2024/12/19 2:48:20 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 2:48:46 PM GMT-3,4,4,4,4,4,4,4,5,4,5,4,4,4,
2024/12/19 4:14:35 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 4:34:52 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024/12/19 5:09:39 PM GMT-3,4,5,5,5,5,5,5,5,4,5,5,5,5,
2024/12/19 5:34:03 PM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,Curso muito bem feito. Parabéns
2024/12/19 6:17:49 PM GMT-3,4,4,5,5,4,5,4,4,4,4,4,4,4,
2024/12/20 12:00:01 AM GMT-3,5,5,5,5,5,5,5,5,5,5,5,5,5,